gen	phenotype	value
R	eggsize	92.29858404614401
R	ovarno	44.0
R	winglength	2.001
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
R	mass	1.4
R	eggsize	236.00877384106658
R	ovarno	35.0
R	winglength	2.002
R	devL1A	9.5
R	devL1LP	4.5
R	devLPA	5.0
R	mass	1.9
R	eggsize	217.5283072820484
R	ovarno	38.0
R	winglength	2.002
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
R	mass	1.7
R	eggsize	184.24929875639404
R	ovarno	37.0
R	winglength	2.003
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.9
S	eggsize	241.5302791654229
S	winglength	2.003
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.5
S	eggsize	218.67238489385207
S	ovarno	37.0
S	winglength	2.004
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.7
S	eggsize	176.5891099424993
S	ovarno	44.0
S	winglength	2.004
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
S	mass	1.7
S	eggsize	139.99706862517002
S	winglength	2.004
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
R	mass	2.2
R	eggsize	179.26469973141258
R	ovarno	28.0
R	winglength	2.005
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
S	mass	1.6
S	eggsize	161.81286596411996
S	ovarno	30.0
