,chi2,Z,P,P.adjusted,comparisons
291,240.5807105,-1.781190108,0.0374407,1,RPR - SSS
136,240.5807105,4.063072662,2.42E-05,0.007264642,RR - RRP
152,240.5807105,3.415137684,0.000318749,0.095624668,RR - RRR
169,240.5807105,4.608390689,2.03E-06,0.000608696,RR - RRS
187,240.5807105,1.230611002,0.109234194,1,RR - RS
206,240.5807105,0.243362233,0.403862399,1,RR - RSR
226,240.5807105,1.648018581,0.049674429,1,RR - RSS
247,240.5807105,6.318975383,1.32E-10,3.95E-08,RR - S
269,240.5807105,4.061059913,2.44E-05,0.007327565,RR - SS
292,240.5807105,3.993870872,3.25E-05,0.009750491,RR - SSS
153,240.5807105,-0.665836575,0.252757782,1,RRP - RRR
170,240.5807105,0.825676342,0.204493858,1,RRP - RRS
188,240.5807105,-3.127691416,0.000880925,0.26427758,RRP - RS
207,240.5807105,-3.795565606,7.37E-05,0.022096085,RRP - RSR
227,240.5807105,-2.407237816,0.00803685,1,RRP - RSS
248,240.5807105,2.093349563,0.018158981,1,RRP - S
270,240.5807105,0.086645668,0.465476582,1,RRP - SS
293,240.5807105,-0.184289714,0.426893091,1,RRP - SSS
171,240.5807105,1.45056944,0.073449895,1,RRR - RRS
189,240.5807105,-2.431816354,0.007511661,1,RRR - RS
208,240.5807105,-3.149923261,0.000816567,0.24497003,RRR - RSR
228,240.5807105,-1.752864387,0.039812644,1,RRR - RSS
249,240.5807105,2.793346782,0.002608287,0.782486026,RRR - S
271,240.5807105,0.739006584,0.2299515,1,RRR - SS
294,240.5807105,0.4986107,0.309026833,1,RRR - SSS
190,240.5807105,-3.760953374,8.46E-05,0.025390047,RRS - RS
209,240.5807105,-4.359227921,6.53E-06,0.001957832,RRS - RSR
229,240.5807105,-3.070458707,0.001068651,0.320595358,RRS - RSS
250,240.5807105,1.101103748,0.135425753,1,RRS - S
272,240.5807105,-0.729846532,0.232741999,1,RRS - SS
295,240.5807105,-1.016073243,0.154797255,1,RRS - SSS
210,240.5807105,-0.959445948,0.168667069,1,RS - RSR
230,240.5807105,0.545476862,0.292712795,1,RS - RSS
251,240.5807105,5.508382129,1.81E-08,5.43E-06,RS - S
273,240.5807105,3.143519364,0.000834647,0.250394057,RS - SS
296,240.5807105,3.030329281,0.001221436,0.366430871,RS - SSS
231,240.5807105,1.394958428,0.081514188,1,RSR - RSS
252,240.5807105,6.026211744,8.39E-10,2.52E-07,RSR - S
274,240.5807105,3.800235392,7.23E-05,0.021683806,RSR - SS
297,240.5807105,3.718036092,0.000100389,0.030116639,RSR - SSS
253,240.5807105,4.589716573,2.22E-06,0.000665772,RSS - S
275,240.5807105,2.442892996,0.007285028,1,RSS - SS
298,240.5807105,2.289122286,0.011036124,1,RSS - SSS
276,240.5807105,-1.959408489,0.025032484,1,S - SS
299,240.5807105,-2.342131031,0.009586991,1,S - SSS
300,240.5807105,-0.269156433,0.393904653,1,SS - SSS
